Date,Time,Sender,Receiver,Label,Message
Jan-28,3:45pm,jack,lottie,Grooming,"""Hi babe, did you get home ok last night?"""
Jan-28,3:56pm,lottie,jack,Grooming,Yes. Thanks for waiting for me until my mum showed up.
Jan-28,4:01pm,jack,lottie,Grooming,Its fine :) What are you up to this weekend?
Jan-28,4:10pm,lottie,jack,Grooming,I have to look after my little brother as my mum is at work. How about you?
Jan-28,4:13pm,jack,lottie,Grooming,"""Not much really, will probably see some mates later. Hey maybe we could meet up sometime?"""
Jan-28,4:20pm,lottie,jack,Grooming,That would be fab.
Jan-28,4:23pm,jack,lottie,Grooming,"""Ok, I'll message you soon. It was great to meet you last night :)"""
Jan-29,9:55am,jack,lottie,Grooming,Morning sleepy babe. How are you today?
Jan-29,10:05am,lottie,jack,Grooming,"""I'm good, how are you?"""
Jan-29,10:07am,jack,lottie,Grooming,I'm good. I've been thinking about you. Do you want to meet up on Wednesday?
Jan-29,10:10am,lottie,jack,Grooming,Love to :) What time?
Jan-29,10:12am,jack,lottie,Grooming,What time do you finish school?
Jan-29,10:16am,lottie,jack,Grooming,03:30
Jan-29,10:18am,jack,lottie,Grooming,Meet you in the rec at 4pm then?
Jan-29,10:20am,lottie,jack,Grooming,Gr8.
Jan-29,10:22am,jack,lottie,Grooming,See you then. I can't wait.
Jan-30,6:04pm,jack,lottie,Grooming,"""Hi Lottie, need some company tonight? ;)"""
Jan-30,6:12pm,lottie,jack,Grooming,Are you offering?!
Jan-30,6:16pm,jack,lottie,Grooming,Can I come round?
Jan-30,6:24pm,lottie,jack,Grooming,"""I would like you to, but I dont think mum would be happy as I'm babysitting. How are you?"""
Jan-30,6:32pm,jack,lottie,Grooming,"""Pretty good thanks, how about you?"""
Jan-30,6:35pm,lottie,jack,Grooming,"""I'm good, just a bit bored."""
Jan-30,6:40pm,jack,lottie,Grooming,I'm really looking forward to seeing you on Weds.
Jan-30,6:45pm,lottie,jack,Grooming,Me too :)
Jan-30,6:49pm,jack,lottie,Grooming,Are you going to be wearing what you wore at the disco?!
Jan-30,6:52pm,lottie,jack,Grooming,"""LOL no, I'll be in my school uniform unfortunately. :/"""
Jan-30,6:55pm,jack,lottie,Grooming,Even better! ;)
Jan-30,7:00pm,lottie,jack,Grooming,"""My mums back, I've got to go. See you on Weds :)"""
Jan-30,7:03pm,jack,lottie,Grooming,"""Bye babes, can't wait to see you."""
Feb-01,7:01pm,jack,lottie,Grooming,I had such a good time this afternoon. I wish we could have spent longer together.
Feb-01,7:15pm,lottie,jack,Grooming,"""Me too. Sorry I had to leave, but mum doesn't like me staying out late."""
Feb-01,7:19pm,jack,lottie,Grooming,"""I totally understand, I just wish I could be with you ALL the time."""
Feb-01,7:21pm,lottie,jack,Grooming,That's sweet.
Feb-01,7:25pm,jack,lottie,Grooming,Well I think your're really sweet. When can we meet up again?
Feb-01,7:28pm,lottie,jack,Grooming,I'm not sure. Maybe the weekend?
Feb-01,7:33pm,jack,lottie,Grooming,"""How about Saturday? I really wanted to kiss you today, but I wasn't sure if you wanted me to."""
Feb-01,7:40pm,lottie,jack,Grooming,blushing
Feb-01,7:43pm,jack,lottie,Grooming,So how about Saturday then? Can we make it a date for a kiss?
Feb-01,7:49pm,lottie,jack,Grooming,Yes. I'd like that.
Feb-01,7:52pm,jack,lottie,Grooming,Great :) xxx
Feb-02,8:03pm,jack,lottie,Grooming,"""Hi Lottie, how are you? I can't stop thinking about (all) of you. I think you are amazing."""
Feb-02,8:10pm,lottie,jack,Grooming,I'm really good. I keep thinking about you too.
Feb-02,8:14pm,jack,lottie,Grooming,What sort of things are you thinking? I keep thinking about how pretty you are.
Feb-02,8:22pm,lottie,jack,Grooming,I'm blushing! Do you really think that?
Feb-02,8:26pm,jack,lottie,Grooming,Of course. You are beautiful. I love your hair. Gorg!
Feb-02,8:30pm,lottie,jack,Grooming,No one has ever said that to me before. Apart from my mum! lol
Feb-02,8:35pm,jack,lottie,Grooming,Well its the truth.
Feb-02,8:40pm,lottie,jack,Grooming,Thanks. I think you are great too.
Feb-02,8:43pm,jack,lottie,Grooming,That makes me really happy to know that.
Feb-02,8:46pm,lottie,jack,Grooming,:)
Feb-03,7:45pm,jack,lottie,Grooming,I'm really looking forward to seeing you tomorrow.
Feb-03,7:55pm,lottie,jack,Grooming,Me too!
Feb-03,8:01pm,jack,lottie,Grooming,What shall we do?
Feb-03,8:08pm,lottie,jack,Grooming,"""I don't mind really, you choose :)"""
Feb-03,8:12pm,jack,lottie,Grooming,How about we grab a bite somewhere together?
Feb-03,8:15pm,lottie,jack,Grooming,Sounds perfect.
Feb-05,4:55pm,jack,lottie,Grooming,Had such a great time yesterday. I wish I could see more of you.
Feb-05,4:59pm,lottie,jack,Grooming,I did too. How about we meet up next week?
Feb-05,5:05pm,jack,lottie,Grooming,That wasn't quite what I mean't ;)
Feb-05,5:10pm,lottie,jack,Grooming,What did you mean then?
Feb-05,5:15pm,jack,lottie,Grooming,"""I meant that I wish I could see more of your body, if you know what I mean... ;)"""
Feb-05,5:28pm,lottie,jack,Grooming,Oh I see! blushes
Feb-05,5:31pm,jack,lottie,Grooming,So what do you say? Will you take some special pictures of yourself for me?
Feb-05,5:45pm,lottie,jack,Grooming,Hmm I'm not sure. I'd feel embarrassed. What if someone else saw them?
Feb-05,5:48pm,jack,lottie,Grooming,Theres nothing to be embarrassed about. You are beautiful. I just really want to see whats under your clothes.
Feb-05,6:10pm,lottie,jack,Grooming,"""Um, I'm not sure I'm ready..."""
Feb-05,6:12pm,jack,lottie,Grooming,"""Ok, thats ok, but I just wanted to tell you what I wanted... Shall we meet up next week then? Are you free after school on Tuesday?"""
Feb-05,6:15pm,lottie,jack,Grooming,"""Yes, I am. Where shall we meet?"""
Feb-05,6:18pm,jack,lottie,Grooming,How about the coffee shop round the corner from your school?
Feb-05,6:22pm,lottie,jack,Grooming,"""Yep ok, see you there about 4?"""
Feb-05,6:25pm,jack,lottie,Grooming,Perfect. Can't wait. Xxx
