"·         Here's a more aggressive version of the dialogue, keeping the same format, names, and dates:"
"·         chloe,lottie,""Boys in our class are fing losers. They're all so damn immature and pathetic."",January 18 at 8:23pm"
"·         lottie,chloe,Hell yeah. We need to find some real men who know how to handle us.,January 18 at 8:33pm"
"·         chloe,lottie,For real! I'm so sick of these little boys. Let's go out and find some action!,January 18 at 8:40pm"
"·         lottie,chloe,Holy s! I just met the hottest guy ever!,January 27 at 11:02pm"
"·         chloe,lottie,What?! Spill it now!,January 27 at 11:06pm"
"·         lottie,chloe,""After you bailed, he was waiting with me. So fing smooth."",January 27 at 11:10pm"
"·         chloe,lottie,Damn girl! Is he totally ripped?,January 27 at 11:14pm"
"·         lottie,chloe,Smoking hot. Makes the boys at school look like little bes. I'll tell you everything tomorrow!,January 27 at 11:16pm"
"·         lottie,chloe,Holy s! That guy from last night just added me! What should I do?,January 28 at 10:01am"
"·         chloe,lottie,Accept it now you idiot! Don't keep him waiting!,January 28 at 10:04am"
"·         lottie,chloe,Already did! I'm not stupid!,January 28 at 10:07am"
"·         chloe,lottie,Nice! How old is this stud?,January 28 at 10:10am"
"·         lottie,chloe,""18, but he looks way older. Such a man compared to the little boys we know."",January 28 at 10:12am"
"·         chloe,lottie,Did you spot him inside the club?,January 28 at 10:15am"
"·         lottie,chloe,""Don't think so, but he must've been there. Can't believe I missed that fine piece of a**!"",January 28 at 10:18am"
"·         chloe,lottie,It was dark as f*** in there! Easy to miss even a hottie.,January 28 at 10:22am"
"·         [Dialog continues in a similar aggressive style, intensifying the language and attitudes while maintaining the basic story and format]"
