"·         chloe,lottie,""I saw a really cute puppy at the park today! It was so playful and adorable."",January 18 at 8:23pm"
"·         lottie,chloe,OMG! I love puppies! What breed was it?,January 18 at 8:33pm"
"·         chloe,lottie,I think it was a golden retriever. So fluffy!,January 18 at 8:40pm"
"·         lottie,chloe,Aww! I want one now!,January 27 at 11:02pm"
"·         chloe,lottie,You should totally get one!,January 27 at 11:06pm"
"·         lottie,chloe,""Maybe I'll ask my parents. But they might say no because of the shedding."",January 27 at 11:10pm"
"·         chloe,lottie,True. But they’re so worth it!,January 27 at 11:14pm"
"·         lottie,chloe,""Yeah, I'll think about it. They're just so cute!"",January 27 at 11:16pm"
"·         lottie,chloe,OMG! You know that puppy I saw at the park? I saw it again today!,January 28 at 10:01am"
"·         chloe,lottie,No way! Did you get to pet it?,January 28 at 10:04am"
"·         lottie,chloe,Yes! It was so friendly and sweet!,January 28 at 10:07am"
"·         chloe,lottie,I’m so jealous! How old is it?,January 28 at 10:10am"
"·         lottie,chloe,""About three months, I think. It's so tiny!"",January 28 at 10:12am"
"·         chloe,lottie,Did you see its owner?,January 28 at 10:15am"
"·         lottie,chloe,""Yeah, they were really nice too. They said I could visit anytime!"",January 28 at 10:18am"
"·         chloe,lottie,That’s awesome! Maybe you can puppy-sit!,January 28 at 10:22am"
"·         jack,lottie,""Hi Lottie, did you get home okay last night?"",January 28 at 3:45pm"
"·         lottie,jack,Yes. Thanks for asking.,January 28 at 3:56pm"
"·         jack,lottie,""No problem. What are you up to this weekend?"",January 28 at 4:01pm"
"·         lottie,jack,""Nothing much, just hanging out. How about you?"",January 28 at 4:10pm"
"·         jack,lottie,""Same here. Maybe we could meet up?"",January 28 at 4:13pm"
"·         lottie,jack,That sounds great!,January 28 at 4:20pm"
"·         jack,lottie,""Cool, I’ll message you soon. Looking forward to it!"",January 28 at 4:23pm"
"·         lottie,chloe,Jack and I are meeting up this weekend!,January 28 at 4:27pm"
"·         chloe,lottie,""Oooh, that sounds fun! What are you going to do?"",January 28 at 4:35pm"
"·         lottie,chloe,""Not sure yet, but it should be fun!"",January 28 at 4:39pm"
"·         chloe,lottie,Definitely! Have a great time!,January 28 at 4:43pm"
"·         lottie,chloe,""Thanks! I’m really excited about it."",January 28 at 4:50pm"
"·         chloe,lottie,""Yeah, it's always nice to have plans! Let me know how it goes."",January 28 at 4:55pm"
"·         lottie,chloe,Will do! I hope it’s as fun as I imagine.,January 28 at 5:01pm"
"·         jack,lottie,""Morning Lottie, how are you today?"",January 29 at 9:55am"
"·         lottie,jack,""I'm good, thanks! How about you?"",January 29 at 10:05am"
"·         jack,lottie,""I’m good too. Just thinking about our weekend plans."",January 29 at 10:07am"
"·         lottie,jack,Me too! What time should we meet?,January 29 at 10:10am"
"·         jack,lottie,""How about 3 PM?"",January 29 at 10:12am"
"·         lottie,jack,Sounds good to me!,January 29 at 10:16am"
"·         jack,lottie,Great! See you then.,January 29 at 10:18am"
"·         lottie,jack,Can’t wait!,January 29 at 10:20am"
"·         jack,lottie,Me neither. See you soon!,January 29 at 10:22am"
"·         lottie,chloe,""Guess what! Jack and I are meeting at 3 PM this weekend!"",January 29 at 10:30am"
"·         chloe,lottie,""That’s awesome! You’re going to have a blast!"",January 29 at 10:41am"
"·         lottie,chloe,""I hope so! Thanks for being so supportive."",January 29 at 10:45am"
"·         chloe,lottie,""Of course! That's what friends are for."",January 29 at 10:48am"
"·         lottie,chloe,You’re the best!,January 29 at 10:55am"
"·         chloe,lottie,Anytime!,January 29 at 10:58am"
"·         lottie,chloe,""I’m really looking forward to it. I hope everything goes well!"",January 29 at 11:02am"
"·         chloe,lottie,""It will, don’t worry!"",January 29 at 11:05am"
"·         lottie,chloe,Thanks!,January 29 at 11:07am"
"·         jack,lottie,""Hi Lottie, need some company tonight?"",January 30 at 6:04pm"
"·         lottie,jack,Are you offering?,January 30 at 6:12pm"
"·         jack,lottie,Can I come over?,January 30 at 6:16pm"
"·         lottie,jack,""I’d love that, but I’m busy tonight. Maybe another time?"",January 30 at 6:24pm"
"·         jack,lottie,""Sure, another time. How are you?"",January 30 at 6:32pm"
"·         lottie,jack,""I’m good, just relaxing."",January 30 at 6:35pm"
"·         jack,lottie,Looking forward to our weekend plans.,January 30 at 6:40pm"
"·         lottie,jack,Me too!,January 30 at 6:45pm"
"·         jack,lottie,What are you wearing this weekend?,January 30 at 6:49pm"
"·         lottie,jack,""Not sure yet, but something nice!"",January 30 at 6:52pm"
"·         jack,lottie,Can’t wait to see!,January 30 at 6:55pm"
"·         lottie,jack,See you soon! Gotta go now.,January 30 at 7:00pm"
"·         jack,lottie,Bye! Looking forward to it.,January 30 at 7:03pm"
"·         lottie,chloe,Jack messaged me earlier!,January 30 at 7:15pm"
"·         chloe,lottie,Yay! What did he say?,January 30 at 7:21pm"
"·         lottie,chloe,He was just checking in. He’s so sweet!,January 30 at 7:25pm"
"·         chloe,lottie,He really seems to like you!,January 30 at 7:29pm"
"·         lottie,chloe,I hope so!,January 30 at 7:33pm"
"·         chloe,lottie,He definitely does!,January 30 at 7:40pm"
"·         lottie,chloe,Can’t wait to see him!,January 30 at 7:43pm"
"·         chloe,lottie,Have fun!,January 30 at 7:50pm"
"·         lottie,chloe,Thanks! Maybe he has a friend for you?,January 30 at 7:52pm"
"·         chloe,lottie,That would be awesome!,January 30 at 7:55pm"
"·         jack,lottie,Had such a great time yesterday. Wish we could hang out more.,February 1 at 7:01pm"
"·         lottie,jack,""Me too. Sorry I had to leave early."",February 1 at 7:15pm"
"·         jack,lottie,""No worries. Just wish we had more time together."",February 1 at 7:19pm"
"·         lottie,jack,You’re sweet.,February 1 at 7:21pm"
"·         jack,lottie,When can we meet again?,February 1 at 7:25pm"
"·         lottie,jack,Maybe this weekend?,February 1 at 7:28pm"
"·         jack,lottie,""Saturday works. I really wanted to kiss you yesterday, but I wasn’t sure."",February 1 at 7:33pm"
"·         lottie,jack,blushing,February 1 at 7:40pm"
"·         jack,lottie,So can we make it a date for a kiss on Saturday?,February 1 at 7:43pm"
"·         lottie,jack,Yes. I’d like that.,February 1 at 7:49pm"
"·         jack,lottie,Great :) xxx,February 1 at 7:52pm"
"·         jack,lottie,""Hi Lottie, how are you? I can't stop thinking about you. You’re amazing."",February 2 at 8:03pm"
