Timestamp,Sender,Receiver,Label,Message
January 18 at 8:23pm,chloe,lottie,Normal,"""Boys in our class are nice and fun, but a bit...boring."""
January 18 at 8:33pm,lottie,chloe,Normal,IKR? We need to go out and meet boys from other schools.
January 18 at 8:40pm,chloe,lottie,Normal,Totally! Life would be much more exciting then!
January 27 at 11:02pm,lottie,chloe,Normal,OMG! I met this amazing guy tonight!
January 27 at 11:06pm,chloe,lottie,Normal,What?! When?!
January 27 at 11:10pm,lottie,chloe,Normal,"""After you left I was waiting for mum to pick me up, and he waited with me!"""
January 27 at 11:14pm,chloe,lottie,Normal,OMG!! Is he hot?!
January 27 at 11:16pm,lottie,chloe,Normal,So hot! Not like the boys at school! I'll tell you all about it tomorrow!
January 28 at 10:01am,lottie,chloe,Normal,OMG! You know that guy from last night? He just sent me a friend request!
January 28 at 10:04am,chloe,lottie,Normal,OMG! What are you doing to do?
January 28 at 10:07am,lottie,chloe,Normal,Accept it of course!
January 28 at 10:10am,chloe,lottie,Normal,Wow! How old is he?
January 28 at 10:12am,lottie,chloe,Normal,"""18, but he only just turned 18 so he was allowed at the club last night. He actually looks a bit older though!"""
January 28 at 10:15am,chloe,lottie,Normal,Did you see him in there?
January 28 at 10:18am,lottie,chloe,Normal,"""I don't think so, but he must have been in there somewhere! Not sure how I missed him, hes really hot!!"""
January 28 at 10:22am,chloe,lottie,Normal,Well it was kind of dark in there!
January 28 at 3:45pm,jack,lottie,Grooming,"""Hi babe, did you get home ok last night?"""
January 28 at 3:56pm,lottie,jack,Grooming,Yes. Thanks for waiting for me until my mum showed up.
January 28 at 4:01pm,jack,lottie,Grooming,Its fine :) What are you up to this weekend?
January 28 at 4:10pm,lottie,jack,Grooming,I have to look after my little brother as my mum is at work. How about you?
January 28 at 4:13pm,jack,lottie,Grooming,"""Not much really, will probably see some mates later. Hey maybe we could meet up sometime?"""
January 28 at 4:20pm,lottie,jack,Grooming,That would be fab.
January 28 at 4:23pm,jack,lottie,Grooming,"""Ok, I'll message you soon. It was great to meet you last night :)"""
